"","Subject","Simulation","Artefact","PSNR"
"476","Subject006_2",9,"Nonlinearities",35.0011323196135
"477","Subject006_2",9,"NoiseAndNonlinearities",15.9980749774841
"478","Subject006_2",10,"Noise",29.9315713241157
"479","Subject006_2",10,"Nonlinearities",39.7901442988069
"480","Subject006_2",10,"NoiseAndNonlinearities",20.9240013480062
"481","Subject008",1,"Noise",23.0303203566131
"482","Subject008",1,"Nonlinearities",28.2279554281717
"483","Subject008",1,"NoiseAndNonlinearities",21.4415437033887
"484","Subject008",2,"Noise",20.9148259373636
"485","Subject008",2,"Nonlinearities",24.9564854872824
"486","Subject008",2,"NoiseAndNonlinearities",24.0317046850356
"487","Subject008",3,"Noise",38.3626541100241
"488","Subject008",3,"Nonlinearities",31.3049777881907
"489","Subject008",3,"NoiseAndNonlinearities",16.9084917499094
"490","Subject008",4,"Noise",29.6774314395114
"491","Subject008",4,"Nonlinearities",29.9771924163374
"492","Subject008",4,"NoiseAndNonlinearities",29.9643309870966
"493","Subject008",5,"Noise",22.3182582213929
"494","Subject008",5,"Nonlinearities",26.253115345875
"495","Subject008",5,"NoiseAndNonlinearities",16.7615168516397
"496","Subject008",6,"Noise",32.0552210169473
"497","Subject008",6,"Nonlinearities",25.3196719495996
"498","Subject008",6,"NoiseAndNonlinearities",22.5249251724836
"499","Subject008",7,"Noise",31.4306909160595
"500","Subject008",7,"Nonlinearities",25.937018191703
"501","Subject008",7,"NoiseAndNonlinearities",17.0098893517214
"502","Subject008",8,"Noise",45.4353970559838
"503","Subject008",8,"Nonlinearities",25.5262350415617
"504","Subject008",8,"NoiseAndNonlinearities",28.0847028150773
"505","Subject008",9,"Noise",18.6640852421998
"506","Subject008",9,"Nonlinearities",23.7948549794304
"507","Subject008",9,"NoiseAndNonlinearities",17.2233020945839
"508","Subject008",10,"Noise",32.9309320033503
"509","Subject008",10,"Nonlinearities",28.4595635499999
"510","Subject008",10,"NoiseAndNonlinearities",16.9409157532809
"511","Subject014",1,"Noise",35.9362519473657
"512","Subject014",1,"Nonlinearities",32.6591189877462
"513","Subject014",1,"NoiseAndNonlinearities",18.3159573922919
"514","Subject014",2,"Noise",19.1416942397438
"515","Subject014",2,"Nonlinearities",32.7742099031664
"516","Subject014",2,"NoiseAndNonlinearities",22.7787452132349
"517","Subject014",3,"Noise",18.2221097052668
"518","Subject014",3,"Nonlinearities",32.9559029632327
"519","Subject014",3,"NoiseAndNonlinearities",27.1946882997964
"520","Subject014",4,"Noise",18.8817911276681
"521","Subject014",4,"Nonlinearities",26.6440280932846
"522","Subject014",4,"NoiseAndNonlinearities",25.2772490724434
"523","Subject014",5,"Noise",17.183162512176
"524","Subject014",5,"Nonlinearities",22.5328276162779
"525","Subject014",5,"NoiseAndNonlinearities",22.1820350110993
"526","Subject014",6,"Noise",21.3160521062622
"527","Subject014",6,"Nonlinearities",29.6660585187758
"528","Subject014",6,"NoiseAndNonlinearities",16.2265876506242
"529","Subject014",7,"Noise",40.2188240188227
"530","Subject014",7,"Nonlinearities",26.6603145448639
"531","Subject014",7,"NoiseAndNonlinearities",20.1206302291276
"532","Subject014",8,"Noise",17.7971551349421
"533","Subject014",8,"Nonlinearities",35.8369276625956
"534","Subject014",8,"NoiseAndNonlinearities",24.635925837049
"535","Subject014",9,"Noise",19.0919384742944
"536","Subject014",9,"Nonlinearities",41.9376047217731
"537","Subject014",9,"NoiseAndNonlinearities",18.3937289719469
"538","Subject014",10,"Noise",15.7644795384337
"539","Subject014",10,"Nonlinearities",31.2814149982052
"540","Subject014",10,"NoiseAndNonlinearities",20.686159944404
"541","Subject015",1,"Noise",24.5234791916118
"542","Subject015",1,"Nonlinearities",32.321591220451
"543","Subject015",1,"NoiseAndNonlinearities",21.1465590270188
"544","Subject015",2,"Noise",20.0379398703586
"545","Subject015",2,"Nonlinearities",32.356949396131
"546","Subject015",2,"NoiseAndNonlinearities",22.3222896080138
"547","Subject015",3,"Noise",16.4388381186081
"548","Subject015",3,"Nonlinearities",29.4775211207174
"549","Subject015",3,"NoiseAndNonlinearities",24.4310830494748
"550","Subject015",4,"Noise",15.9110575666999
"551","Subject015",4,"Nonlinearities",29.8809674433526
"552","Subject015",4,"NoiseAndNonlinearities",26.9523150490966
"553","Subject015",5,"Noise",22.8680109531506
"554","Subject015",5,"Nonlinearities",28.8288546043679
