Segmentation,Cluster,Sensitivity
Atropos,Cluster3,0.980288576344835
ElBicho,Cluster0,0.999999999999935
ElBicho,Cluster1,0.106688672017922
ElBicho,Cluster2,0.829429638376802
ElBicho,Cluster3,0.918859350806732
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.451159777201764
LinearBinning,Cluster2,0.5346155728433
LinearBinning,Cluster3,0.998204660678996
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0.156187851758272
KMeans,Cluster2,0.106983699960824
KMeans,Cluster3,0.999999999998828
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.999999999945875
Atropos,Cluster2,0.602162710198198
Atropos,Cluster3,0.980605141500604
ElBicho,Cluster0,0.999999999999936
ElBicho,Cluster1,0.188593785751077
ElBicho,Cluster2,0.726269745303112
ElBicho,Cluster3,0.920914260231953
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.00117909617388349
LinearBinning,Cluster2,0.543384991521262
LinearBinning,Cluster3,0.999999999998821
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0
KMeans,Cluster2,0.0137608891075857
KMeans,Cluster3,0.999999999998837
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.999999999979841
Atropos,Cluster2,0.460154495508126
Atropos,Cluster3,0.941326863156459
ElBicho,Cluster0,0.999458799172488
ElBicho,Cluster1,0.00221726365885989
ElBicho,Cluster2,0.746936113217034
ElBicho,Cluster3,0.898737060575209
LinearBinning,Cluster0,0.999999999999962
LinearBinning,Cluster1,0.0104437538788955
LinearBinning,Cluster2,0.816690775812492
LinearBinning,Cluster3,0.987166433045244
KMeans,Cluster0,0.999999999999962
KMeans,Cluster1,0
KMeans,Cluster2,0.0202744080390864
KMeans,Cluster3,0.999999999999666
Atropos,Cluster0,0.999999999999962
Atropos,Cluster1,0.999999999994418
Atropos,Cluster2,0.601199868340086
Atropos,Cluster3,0.964457847916902
ElBicho,Cluster0,0.999965086349048
ElBicho,Cluster1,5.54555214056896e-240
ElBicho,Cluster2,0.704872202628848
ElBicho,Cluster3,0.974064662902773
LinearBinning,Cluster0,0.999999999999901
LinearBinning,Cluster1,0
LinearBinning,Cluster2,0.628089857933162
LinearBinning,Cluster3,0.999999999998558
KMeans,Cluster0,0.999999999999901
KMeans,Cluster1,0
KMeans,Cluster2,0.0155239745384134
KMeans,Cluster3,0.99999999999857
Atropos,Cluster0,0.999999999999901
Atropos,Cluster1,0.99999999997543
